"race" "natcrime"
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" "Too Much"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Much"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" NA
"White" "Too Little"
"Black" "Too Little"
"Black" "Too Little"
"White" "About Right"
"Black" "Too Little"
"Black" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Much"
"White" "Too Little"
"White" NA
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "About Right"
"White" NA
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Much"
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" NA
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"Black" "About Right"
"White" "About Right"
"White" NA
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Much"
"White" NA
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"Black" "Too Little"
"Black" "Too Little"
"Black" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Much"
"Black" "About Right"
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Much"
"White" "Too Little"
"White" "Too Much"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
